Week,drone racing: (Worldwide)
09/11/2014,2
16/11/2014,2
23/11/2014,4
30/11/2014,6
07/12/2014,7
14/12/2014,5
21/12/2014,5
28/12/2014,4
04/01/2015,6
11/01/2015,5
18/01/2015,5
25/01/2015,6
01/02/2015,5
08/02/2015,6
15/02/2015,5
22/02/2015,7
01/03/2015,6
08/03/2015,7
15/03/2015,7
22/03/2015,7
29/03/2015,7
05/04/2015,6
12/04/2015,6
19/04/2015,4
26/04/2015,5
03/05/2015,6
10/05/2015,7
17/05/2015,6
24/05/2015,5
31/05/2015,5
07/06/2015,11
14/06/2015,14
21/06/2015,13
28/06/2015,10
05/07/2015,9
12/07/2015,14
19/07/2015,17
26/07/2015,20
02/08/2015,11
09/08/2015,15
16/08/2015,14
23/08/2015,11
30/08/2015,11
06/09/2015,10
13/09/2015,9
20/09/2015,10
27/09/2015,12
04/10/2015,11
11/10/2015,11
18/10/2015,10
25/10/2015,11
01/11/2015,12
08/11/2015,12
15/11/2015,14
22/11/2015,15
29/11/2015,12
06/12/2015,14
13/12/2015,15
20/12/2015,19
27/12/2015,19
03/01/2016,16
10/01/2016,13
17/01/2016,15
24/01/2016,100
31/01/2016,56
07/02/2016,37
14/02/2016,29
21/02/2016,26
28/02/2016,26
06/03/2016,25
13/03/2016,34
20/03/2016,27
27/03/2016,23
03/04/2016,25
10/04/2016,29
17/04/2016,29
24/04/2016,26
01/05/2016,28
08/05/2016,24
15/05/2016,24
22/05/2016,24
29/05/2016,28
05/06/2016,22
12/06/2016,21
19/06/2016,22
26/06/2016,24
03/07/2016,20
10/07/2016,22
17/07/2016,23
24/07/2016,20
31/07/2016,26
07/08/2016,26
14/08/2016,23
21/08/2016,22
28/08/2016,20
04/09/2016,22
11/09/2016,37
18/09/2016,30
25/09/2016,25
02/10/2016,26
09/10/2016,26
16/10/2016,23
23/10/2016,34
30/10/2016,33
06/11/2016,43
13/11/2016,52
20/11/2016,60
27/11/2016,46
